# Symbiote 1.1.3 硬编码玩法数值全表（166 项）
# 提取 2026-09-11 K3，javap -v com.scout.symbiote.config.SymbioteConfig，lambda 供应器常量
# 这些值不在 toml 中暴露，改不了；仅供数值对齐与设计引用。ticks: 20t=1s

BOND_MAX                                 = 500
LIVING_ARMOR_HIT_CAP_FRAC                = 0.5
ROYAL_HIT_CAP_FRAC                       = 0.4
EMERGENCY_REGEN_COOLDOWN_TICKS           = 600
STANCE_STAMINA_DRAIN                     = 2
STANCE_DRAIN_INTERVAL                    = 10
PROTECT_HEAL_AMOUNT                      = 1.5
PROTECT_HEAL_INTERVAL                    = 20
HUNT_KILL_HUNGER                         = 4
TRUST_FEED                               = 2
TRUST_STANCE_KILL                        = 1
TRUST_STANCE_KILL_COOLDOWN_TICKS         = 40
REVIVAL_MIN_BOND                         = 275
REVIVAL_DORMANCY_TICKS                   = 12000
PREDATOR_DAMAGE_MULT                     = 1.4
PREDATOR_HUNGER_DRAIN_MULT               = 1.5
PREDATOR_TENDRIL_COOLDOWN_MULT           = 0.6
PREDATOR_REVIVAL_BOND_MULT               = 1.2
PREDATOR_STARVE_THRESHOLD_BONUS          = 10
DESIRE_INTERVAL_TICKS                    = 9600
DESIRE_WINDOW_TICKS                      = 6000
TRUST_DESIRE_FULFILLED                   = 3
STRESS_DESIRE_IGNORED                    = 8
DESIRE_TANTRUM_CHANCE                    = 0.5
CURIOSITY_MIN_GAP_TICKS                  = 800
CURIOSITY_WALK_CHANCE                    = 0.45
CURIOSITY_RANGE                          = 20.0
FIDGET_IDLE_TICKS                        = 300
HOST_FEED_HUNGER_THRESHOLD               = 4
COSTLY_RESISTANCE_ENABLED                = 0
BIOMASS_DORMANCY_CUT                     = 1200
MOLT_ENABLED                             = 1
MOLT_INTERVAL_TICKS                      = 84000
WILD_HOSTS_ENABLED                       = 1
WILD_HOST_SPAWN_CHANCE                   = 8
WILD_HOST_SENSE_RANGE                    = 32
WILD_HOST_LEAP_ENABLED                   = 1
WILD_HOST_LEAP_CHANCE                    = 35
SHADOW_NIGHT_SPEED_AMPLIFIER             = 0
SHADOW_DAY_STRESS                        = 1
SCULK_SONIC_RESIST                       = 0.5
SCULK_SENSE_RANGE_BONUS                  = 8
ROYAL_DEFIANCE_MULT                      = 1.6
ROYAL_HUNGER_DRAIN_MULT                  = 1.35
ROYAL_INTENSITY_BONUS                    = 0.25
ROYAL_DAMAGE_MULT                        = 1.5
ROYAL_ARMOR_DR_BONUS                     = 0.1
GUARDIAN_ARMOR_DR_BONUS                  = 0.05
ROYAL_REGEN_ENABLED                      = 1
BELL_STUN_RADIUS                         = 16.0
BELL_STUN_SECONDS                        = 8
BELL_STRESS                              = 15
SONIC_BOOM_BONUS_MULT                    = 1.5
VILLAGER_FEAR_ENABLED                    = 1
VILLAGER_FEAR_MIN_STAGE                  = 3
VILLAGER_FEAR_RANGE                      = 8.0
GOLEM_HOSTILE_TO_DOMINANT                = 1
SLAM_DAMAGE                              = 10.0
SLAM_RANGE                               = 5.0
SLAM_COOLDOWN_TICKS                      = 600
SLEEP_TAKEOVER_BASE_CHANCE               = 0.2
BIOMASS_DROP_CHANCE                      = 0.5
STAMINA_MAX_ATTACHED                     = 60
STAMINA_MAX_INTEGRATED                   = 85
STAMINA_MAX_COOPERATIVE                  = 115
STAMINA_MAX_DOMINANT                     = 150
STAMINA_REGEN_PER_TICK                   = 1
STAMINA_REGEN_INTERVAL                   = 8
STAMINA_COST_YANK                        = 18
STAMINA_COST_CLING                       = 12
STAMINA_COST_LASH                        = 30
STAMINA_COST_CARAPACE                    = 28
STAMINA_COST_FRENZY                      = 50
STAMINA_COST_APEX                        = 65
STAMINA_COST_CONSUME                     = 33
CONSUME_COOLDOWN_TICKS                   = 120
CONSUME_MAX_TARGET_HP                    = 100.0
STRAIN_POWERS_ENABLED                    = 0
STRAIN_ABILITY_COOLDOWN_TICKS            = 140
STAMINA_COST_AEGIS                       = 30
AEGIS_DURATION_TICKS                     = 100
AEGIS_DAMAGE_REDUCTION                   = 0.6
AEGIS_RANGE                              = 4.0
STAMINA_COST_RUPTURE                     = 28
RUPTURE_RANGE                            = 6.0
RUPTURE_DAMAGE                           = 9.0
RUPTURE_EXECUTE_FRAC                     = 0.3
RUPTURE_SCENE_DAMAGE_REDUCTION           = 0.3
STAMINA_COST_NIGHTSTEP                   = 18
NIGHTSTEP_RANGE_DAY                      = 6.0
NIGHTSTEP_RANGE_NIGHT                    = 14.0
STAMINA_COST_SCREECH                     = 35
SCREECH_RANGE                            = 9.0
SCREECH_DAMAGE                           = 8.0
STAMINA_COST_ONSLAUGHT                   = 40
ONSLAUGHT_DURATION_TICKS                 = 200
ONSLAUGHT_COOLDOWN_TICKS                 = 360
ONSLAUGHT_STRIKE_INTERVAL                = 8
ONSLAUGHT_TENDRILS                       = 6
ONSLAUGHT_RANGE                          = 8.0
ONSLAUGHT_DAMAGE                         = 6.0
ARMS_ENABLED                             = 1
ARMS_RETALIATE_CHANCE                    = 0.28
ARMS_GRIEF_MULT                          = 1
ARMS_VEIN_ASSIST                         = 1
ARMS_VEIN_MAX                            = 24
ARMS_WALL_ENABLED                        = 1
ARMS_WALL_COOLDOWN_TICKS                 = 20
ARROW_WALL_ENABLED                       = 1
ARROW_WALL_CHANCE                        = 0.3
TORCH_REFLEX_ENABLED                     = 1
ARMS_SCAVENGE                            = 1
SCAVENGE_MIN_DURABILITY                  = 300
ARMS_SCAVENGE_RANGE                      = 8.0
